source,action,count,success_count
result-allocator-v1-0727-lemma_action_counts.csv,invariant_end_repair,2,
result-allocator-v1-0727-lemma_action_counts.csv,seqsetmap,5,
result-allocator-v1-0727-lemma_action_counts.csv,precondition_repair,9,
result-benchmarks-sampled-0811-ablation_action_counts.csv,merged_prompt_ablation,197,0
result-benchmarks-sampled-0811-ablation_action_counts.csv,postcondition_repair,54,0
result-benchmarks-sampled-0811-ablation_action_counts.csv,precondition_repair,21,0
result-benchmarks-sampled-0811-ablation_action_counts.csv,arithmetic_overflow_repair,10,0
result-benchmarks-sampled-0811-least_action_counts.csv,bit_vector_reasoning,4,0
result-benchmarks-sampled-0811-least_action_counts.csv,case_analysis,57,0
result-benchmarks-sampled-0811-least_action_counts.csv,induction,9,0
result-benchmarks-sampled-0811-least_action_counts.csv,nonlinear_arithmetic,16,0
result-benchmarks-sampled-0811-least_action_counts.csv,postcondition_repair,57,0
result-benchmarks-sampled-0811-least_action_counts.csv,seqsetmap,16,0
result-benchmarks-sampled-0811-least_action_counts.csv,precondition_repair,13,0
result-benchmarks-sampled-0811-least_action_counts.csv,instantiate_forall,33,0
result-benchmarks-sampled-0811-least_action_counts.csv,reveal_opaque,12,0
result-benchmarks-sampled-0811-least_action_counts.csv,inductive_lemma,8,0
result-benchmarks-sampled-0811-least_action_counts.csv,reveal_with_fuel,1,0
result-benchmarks-sampled-0811-least_action_counts.csv,compute,10,0
result-benchmarks-sampled-0811-least_action_counts.csv,extensional_equality,13,0
result-benchmarks-sampled-0811-least_action_counts.csv,instantiate_exists,15,0
result-benchmarks-sampled-0811-least_action_counts.csv,fallback_llm_repair,4,0
result-benchmarks-sampled-0811-least_action_counts.csv,integer_ring,3,0
result-benchmarks-sampled-0811-least_action_counts.csv,arithmetic_overflow_repair,10,0
result-benchmarks-sampled-0811-least_action_counts.csv,loopinv,4,0
result-benchmarks-sampled-0811-least_action_counts.csv,add_trigger_assert,1,0
result-benchmarks-sampled-0811-most_action_counts.csv,instantiate_forall,61,0
result-benchmarks-sampled-0811-most_action_counts.csv,postcondition_repair,57,0
result-benchmarks-sampled-0811-most_action_counts.csv,case_analysis,39,0
result-benchmarks-sampled-0811-most_action_counts.csv,extensional_equality,34,0
result-benchmarks-sampled-0811-most_action_counts.csv,nonlinear_arithmetic,4,0
result-benchmarks-sampled-0811-most_action_counts.csv,reveal_opaque,43,0
result-benchmarks-sampled-0811-most_action_counts.csv,loopinv,7,0
result-benchmarks-sampled-0811-most_action_counts.csv,fallback_llm_repair,5,0
result-benchmarks-sampled-0811-most_action_counts.csv,instantiate_exists,9,0
result-benchmarks-sampled-0811-most_action_counts.csv,reveal_with_fuel,2,0
result-benchmarks-sampled-0811-most_action_counts.csv,precondition_repair,16,0
result-benchmarks-sampled-0811-most_action_counts.csv,add_trigger_assert,2,0
result-benchmarks-sampled-0811-most_action_counts.csv,induction,11,0
result-benchmarks-sampled-0811-most_action_counts.csv,compute,2,0
result-benchmarks-sampled-0811-most_action_counts.csv,seqsetmap,16,0
result-benchmarks-sampled-0811-most_action_counts.csv,arithmetic_overflow_repair,10,0
result-benchmarks-sampled-0811-most_action_counts.csv,bit_vector_reasoning,4,0
result-benchmarks-sampled-0811-most_action_counts.csv,inductive_lemma,4,0
result-benchmarks-sampled-0811-tree-search_action_counts.csv,precondition_repair,57,7
result-benchmarks-sampled-0811-tree-search_action_counts.csv,integer_ring,1,0
result-benchmarks-sampled-0811-tree-search_action_counts.csv,nonlinear_arithmetic,88,7
result-benchmarks-sampled-0811-tree-search_action_counts.csv,postcondition_repair,74,42
result-benchmarks-sampled-0811-tree-search_action_counts.csv,instantiate_forall,42,16
result-benchmarks-sampled-0811-tree-search_action_counts.csv,add_trigger_assert,128,8
result-benchmarks-sampled-0811-tree-search_action_counts.csv,seqsetmap,27,1
result-benchmarks-sampled-0811-tree-search_action_counts.csv,case_analysis,16,11
result-benchmarks-sampled-0811-tree-search_action_counts.csv,arithmetic_overflow_repair,10,1
result-benchmarks-sampled-0811-tree-search_action_counts.csv,induction,6,3
result-benchmarks-sampled-0811-tree-search_action_counts.csv,reveal_opaque,11,11
result-benchmarks-sampled-0811-tree-search_action_counts.csv,compute,43,1
result-benchmarks-sampled-0811-tree-search_action_counts.csv,extensional_equality,26,4
result-benchmarks-sampled-0811-tree-search_action_counts.csv,instantiate_exists,13,9
result-benchmarks-sampled-0811-tree-search_action_counts.csv,inductive_lemma,5,3
result-benchmarks-sampled-0811-tree-search_action_counts.csv,uselemma,16,3
result-benchmarks-sampled-0811-tree-search_action_counts.csv,bit_vector_reasoning,25,2
result-benchmarks-sampled-0811-tree-search_action_counts.csv,fallback_llm_repair,1,0
result-benchmarks-sampled-0811-tree-search_action_counts.csv,loopinv,1,1
result-benchmarks-sampled-0811-tree-search_action_counts.csv,reveal_with_fuel,1,1
result-benchmarks-sampled-0811_action_counts.csv,precondition_repair,13,0
result-benchmarks-sampled-0811_action_counts.csv,instantiate_forall,38,0
result-benchmarks-sampled-0811_action_counts.csv,reveal_opaque,14,0
result-benchmarks-sampled-0811_action_counts.csv,compute,11,0
result-benchmarks-sampled-0811_action_counts.csv,case_analysis,42,0
result-benchmarks-sampled-0811_action_counts.csv,postcondition_repair,47,0
result-benchmarks-sampled-0811_action_counts.csv,bit_vector_reasoning,5,0
result-benchmarks-sampled-0811_action_counts.csv,induction,22,0
result-benchmarks-sampled-0811_action_counts.csv,arithmetic_overflow_repair,10,0
result-benchmarks-sampled-0811_action_counts.csv,nonlinear_arithmetic,26,0
result-benchmarks-sampled-0811_action_counts.csv,fallback_llm_repair,4,0
result-benchmarks-sampled-0811_action_counts.csv,instantiate_exists,11,0
result-benchmarks-sampled-0811_action_counts.csv,seqsetmap,19,0
result-benchmarks-sampled-0811_action_counts.csv,inductive_lemma,8,0
result-benchmarks-sampled-0811_action_counts.csv,add_trigger_assert,1,0
result-benchmarks-sampled-0811_action_counts.csv,extensional_equality,16,0
result-benchmarks-sampled-0811_action_counts.csv,uselemma,8,0
result-benchmarks-sampled-0812-least_action_counts.csv,reveal_opaque,10,0
result-benchmarks-sampled-0812-least_action_counts.csv,nonlinear_arithmetic,14,0
result-benchmarks-sampled-0812-least_action_counts.csv,instantiate_exists,15,0
result-benchmarks-sampled-0812-least_action_counts.csv,extensional_equality,19,0
result-benchmarks-sampled-0812-least_action_counts.csv,loopinv,2,0
result-benchmarks-sampled-0812-least_action_counts.csv,postcondition_repair,50,0
result-benchmarks-sampled-0812-least_action_counts.csv,instantiate_forall,37,0
result-benchmarks-sampled-0812-least_action_counts.csv,precondition_repair,32,0
result-benchmarks-sampled-0812-least_action_counts.csv,fallback_llm_repair,4,0
result-benchmarks-sampled-0812-least_action_counts.csv,compute,14,0
result-benchmarks-sampled-0812-least_action_counts.csv,seqsetmap,22,0
result-benchmarks-sampled-0812-least_action_counts.csv,case_analysis,36,0
result-benchmarks-sampled-0812-least_action_counts.csv,arithmetic_overflow_repair,10,0
result-benchmarks-sampled-0812-least_action_counts.csv,bit_vector_reasoning,3,0
result-benchmarks-sampled-0812-least_action_counts.csv,integer_ring,4,0
result-benchmarks-sampled-0812-least_action_counts.csv,induction,8,0
result-benchmarks-sampled-0812-least_action_counts.csv,reveal_with_fuel,1,0
result-benchmarks-sampled-0812-least_action_counts.csv,inductive_lemma,6,0
result-benchmarks-sampled-0812-tree-search_action_counts.csv,reveal_opaque,11,11
result-benchmarks-sampled-0812-tree-search_action_counts.csv,nonlinear_arithmetic,118,13
result-benchmarks-sampled-0812-tree-search_action_counts.csv,bit_vector_reasoning,33,3
result-benchmarks-sampled-0812-tree-search_action_counts.csv,add_trigger_assert,59,5
result-benchmarks-sampled-0812-tree-search_action_counts.csv,instantiate_exists,10,10
result-benchmarks-sampled-0812-tree-search_action_counts.csv,case_analysis,40,31
result-benchmarks-sampled-0812-tree-search_action_counts.csv,postcondition_repair,53,41
result-benchmarks-sampled-0812-tree-search_action_counts.csv,precondition_repair,12,8
result-benchmarks-sampled-0812-tree-search_action_counts.csv,compute,35,7
result-benchmarks-sampled-0812-tree-search_action_counts.csv,fallback_llm_repair,4,0
result-benchmarks-sampled-0812-tree-search_action_counts.csv,loopinv,4,2
result-benchmarks-sampled-0812-tree-search_action_counts.csv,seqsetmap,52,8
result-benchmarks-sampled-0812-tree-search_action_counts.csv,inductive_lemma,4,4
result-benchmarks-sampled-0812-tree-search_action_counts.csv,uselemma,32,3
result-benchmarks-sampled-0812-tree-search_action_counts.csv,induction,19,5
result-benchmarks-sampled-0812-tree-search_action_counts.csv,instantiate_forall,18,12
result-benchmarks-sampled-0812-tree-search_action_counts.csv,extensional_equality,11,8
result-benchmarks-sampled-0812-tree-search_action_counts.csv,integer_ring,10,1
result-benchmarks-sampled-0812-tree-search_action_counts.csv,arithmetic_overflow_repair,10,1
result-benchmarks-sampled-0813-tree-search_action_counts.csv,nonlinear_arithmetic,79,3
result-benchmarks-sampled-0813-tree-search_action_counts.csv,reveal_opaque,14,14
result-benchmarks-sampled-0813-tree-search_action_counts.csv,reveal_with_fuel,3,3
result-benchmarks-sampled-0813-tree-search_action_counts.csv,add_trigger_assert,90,4
result-benchmarks-sampled-0813-tree-search_action_counts.csv,case_analysis,20,11
result-benchmarks-sampled-0813-tree-search_action_counts.csv,bit_vector_reasoning,31,0
result-benchmarks-sampled-0813-tree-search_action_counts.csv,postcondition_repair,23,20
result-benchmarks-sampled-0813-tree-search_action_counts.csv,compute,23,0
result-benchmarks-sampled-0813-tree-search_action_counts.csv,arithmetic_overflow_repair,10,1
result-benchmarks-sampled-0813-tree-search_action_counts.csv,inductive_lemma,4,4
result-benchmarks-sampled-0813-tree-search_action_counts.csv,induction,17,4
result-benchmarks-sampled-0813-tree-search_action_counts.csv,uselemma,9,1
result-benchmarks-sampled-0813-tree-search_action_counts.csv,integer_ring,2,0
result-benchmarks-sampled-0813-tree-search_action_counts.csv,instantiate_exists,6,6
result-benchmarks-sampled-0813-tree-search_action_counts.csv,instantiate_forall,3,3
result-benchmarks-sampled-0813-tree-search_action_counts.csv,loopinv,3,1
result-benchmarks-sampled-0813-tree-search_action_counts.csv,seqsetmap,5,0
result-benchmarks-sampled-0813-tree-search_action_counts.csv,extensional_equality,10,1
result-ironkv-scratch-tree-0805_action_counts.csv,Unknown,167,
result-storage-0724_action_counts.csv,postcondition_repair,68,
result-storage-0724_action_counts.csv,instantiate_forall,110,
result-storage-0724_action_counts.csv,add_trigger_assert,5,
result-storage-0724_action_counts.csv,case_analysis,94,
result-storage-0724_action_counts.csv,instantiate_exists,3,
result-storage-0724_action_counts.csv,nonlinear_arithmetic,18,
result-storage-0724_action_counts.csv,extensional_equality,48,
result-storage-0724_action_counts.csv,seqsetmap,23,
result-storage-0724_action_counts.csv,reveal_with_fuel,15,
result-storage-0724_action_counts.csv,fallback_llm_repair,15,
result-storage-0724_action_counts.csv,uselemma,24,
result-storage-0724_action_counts.csv,precondition_repair,35,
result-storage-0724_action_counts.csv,loopinv,1,
result-storage-0724_action_counts.csv,compute,3,
result-storage-0724_action_counts.csv,inductive_lemma,1,
result-storage-0730-merge_action_counts.csv,postcondition_repair,66,
result-storage-0730-merge_action_counts.csv,merged_prompt_ablation,347,
result-storage-0730-merge_action_counts.csv,precondition_repair,49,
result-storage-scratch-tree-0805_action_counts.csv,Unknown,490,
result-verified-ironkv-unverified_delemap_nolemma-0809_action_counts.csv,Unknown,313,
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,nonlinear_arithmetic,255,16
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,bit_vector_reasoning,103,5
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,instantiate_forall,17,12
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,compute,114,15
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,case_analysis,44,26
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,inductive_lemma,12,11
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,reveal_opaque,37,37
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,add_trigger_assert,98,5
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,postcondition_repair,117,96
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,induction,73,24
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,arithmetic_overflow_repair,24,6
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,uselemma,19,0
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,loopinv,8,6
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,seqsetmap,76,6
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,extensional_equality,12,11
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,instantiate_exists,40,32
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,integer_ring,48,0
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,precondition_repair,9,4
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,reveal_with_fuel,3,3
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,fallback_llm_repair,2,0
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,modify_loop_invariant,7,0
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,invariant_end_repair,7,3
result-verified-memory-allocator-unverified_nolemma-0809_action_counts.csv,invariant_front_repair,1,1
result-verified-storage-unverified_nolemma-0809_action_counts.csv,precondition_repair,69,32
result-verified-storage-unverified_nolemma-0809_action_counts.csv,postcondition_repair,110,65
result-verified-storage-unverified_nolemma-0809_action_counts.csv,instantiate_forall,76,50
result-verified-storage-unverified_nolemma-0809_action_counts.csv,compute,54,8
result-verified-storage-unverified_nolemma-0809_action_counts.csv,add_trigger_assert,111,8
result-verified-storage-unverified_nolemma-0809_action_counts.csv,extensional_equality,42,30
result-verified-storage-unverified_nolemma-0809_action_counts.csv,nonlinear_arithmetic,154,10
result-verified-storage-unverified_nolemma-0809_action_counts.csv,uselemma,99,15
result-verified-storage-unverified_nolemma-0809_action_counts.csv,seqsetmap,141,7
result-verified-storage-unverified_nolemma-0809_action_counts.csv,loopinv,5,5
result-verified-storage-unverified_nolemma-0809_action_counts.csv,invariant_front_repair,2,2
result-verified-storage-unverified_nolemma-0809_action_counts.csv,case_analysis,80,48
result-verified-storage-unverified_nolemma-0809_action_counts.csv,fallback_llm_repair,6,0
result-verified-storage-unverified_nolemma-0809_action_counts.csv,instantiate_exists,2,2
result-verified-storage-unverified_nolemma-0809_action_counts.csv,inductive_lemma,1,1
result-verified-storage-unverified_nolemma-0809_action_counts.csv,integer_ring,5,0
result-verified-storage-unverified_nolemma-0811_action_counts.csv,case_analysis,33,7
result-verified-storage-unverified_nolemma-0811_action_counts.csv,seqsetmap,13,0
result-verified-storage-unverified_nolemma-0811_action_counts.csv,extensional_equality,10,0
result-verified-storage-unverified_nolemma-0811_action_counts.csv,postcondition_repair,14,1
result-verified-storage-unverified_nolemma-0811_action_counts.csv,instantiate_forall,13,0
result-verified-storage-unverified_nolemma-0811_action_counts.csv,nonlinear_arithmetic,8,0
result-verified-storage-unverified_nolemma-0811_action_counts.csv,fallback_llm_repair,1,0
result-verified-storage-unverified_nolemma-0811_action_counts.csv,uselemma,6,0
result-verified-storage-unverified_nolemma-0811_action_counts.csv,add_trigger_assert,5,0
