threshold,model,project,file,status,gate_attempt,pair_error,pair_action,estimated_saved_tokens,effective_total_tokens,log_path
2,gpt5,IR,IR__single_delivery_model_v__impl2__retransmit_un_acked_packets_for_dst.rs,TIMEOUT,5,AssertFail,INSTANTIATE_FORALL,1194466,1292426,all_batch_results-cyy-gpt5/results-batch_003/o-IR__single_delivery_model_v__impl2__retransmit_un_acked_packets_for_dst-20251127-064103/verus-repair.log
2,gpt5,OS,OS__process_manager__impl_new_thread__impl0__new_thread.rs,TIMEOUT,2,PostCondFail,postcondition_repair,1127293,1145957,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_new_thread__impl0__new_thread-20251129-124442/verus-repair.log
2,gpt5,OS,OS__process_manager__impl_base__impl0__pass_endpoint.rs,TIMEOUT,2,PostCondFail,postcondition_repair,1096308,1114066,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_base__impl0__pass_endpoint-20251129-091442/verus-repair.log
2,gpt5,OS,OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint.rs,TIMEOUT,3,PostCondFail,postcondition_repair,1077070,1117037,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint-20251129-111442/verus-repair.log
2,gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper3.rs,TIMEOUT,3,AssertFail,SEQSETMAP,1067449,1135494,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper3-20251129-185547/verus-repair.log
2,gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper2.rs,TIMEOUT,3,AssertFail,SEQSETMAP,1028307,1091690,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper2-20251129-182547/verus-repair.log
2,gpt5,OS,OS__process_manager__impl_base__impl0__schedule_blocked_thread.rs,TIMEOUT,3,PostCondFail,postcondition_repair,1012643,1051471,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_base__impl0__schedule_blocked_thread-20251129-101442/verus-repair.log
2,gpt5,IR,IR__single_delivery_model_v__impl2__retransmit_un_acked_packets.rs,TIMEOUT,3,PostCondFail,postcondition_repair,991304,1012793,all_batch_results-cyy-gpt5/results-batch_003/o-IR__single_delivery_model_v__impl2__retransmit_un_acked_packets-20251127-061102/verus-repair.log
2,gpt5,ST,ST__logimpl_tentatively_append.rs,TIMEOUT,4,AssertFail,USELEMMA,977623,1064220,all_batch_results-cyy-gpt5/results-batch_007/o-ST__logimpl_tentatively_append-20251130-054437/verus-repair.log
2,gpt5,IR,IR__marshal_v__impl4__lemma_same_views_serialize_the_same.rs,TIMEOUT,3,AssertFail,INSTANTIATE_FORALL,976436,1028254,all_batch_results-cyy-gpt5/results-batch_003/o-IR__marshal_v__impl4__lemma_same_views_serialize_the_same-20251126-234159/verus-repair.log
2,gpt5,ST,ST__inv_L_updating_inactive_crc_maintains_invariants.rs,TIMEOUT,2,PostCondFail,postcondition_repair,928752,945051,all_batch_results-cyy-gpt5/results-batch_007/o-ST__inv_L_updating_inactive_crc_maintains_invariants-20251130-021215/verus-repair.log
2,gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper6.rs,TIMEOUT,3,AssertFail,SEQSETMAP,921818,956445,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper6-20251129-202547/verus-repair.log
2,gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__push.rs,TIMEOUT,3,AssertFail,SEQSETMAP,917287,983976,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__push-20251129-172547/verus-repair.log
2,gpt5,IR,IR__single_delivery_model_v__impl2__send_single_cmessage.rs,TIMEOUT,2,PostCondFail,postcondition_repair,902785,913243,all_batch_results-cyy-gpt5/results-batch_003/o-IR__single_delivery_model_v__impl2__send_single_cmessage-20251127-071103/verus-repair.log
2,gpt5,ST,ST__logimpl_update_log_metadata.rs,TIMEOUT,2,PreCondFail,precondition_repair,897057,916788,all_batch_results-cyy-gpt5/results-batch_007/o-ST__logimpl_update_log_metadata-20251130-071437/verus-repair.log
2,gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper7.rs,TIMEOUT,4,AssertFail,SEQSETMAP,890146,974944,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper7-20251129-205548/verus-repair.log
2,gpt5,ST,ST__layout_L_if_only_differences_in_memory_are_inactive_metadata_then_recover_state_matches.rs,TIMEOUT,3,AssertFail,INSTANTIATE_FORALL,886785,934472,all_batch_results-cyy-gpt5/results-batch_007/o-ST__layout_L_if_only_differences_in_memory_are_inactive_metadata_then_recover_state_matches-20251130-024333/verus-repair.log
2,gpt5,IR,IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of.rs,TIMEOUT,3,AssertFail,CASE_ANALYSIS,876687,914272,all_batch_results-cyy-gpt5/results-batch_003/o-IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of-20251126-212955/verus-repair.log
2,gpt5,NR,NR__impl_u__l2_impl__impl0__lemma_new_entry_mb0_bits_are_zero.rs,TIMEOUT,4,AssertFail,BIT_VECTOR_REASONING,842824,904994,all_batch_results-cyy-gpt5/results-batch_004/o-NR__impl_u__l2_impl__impl0__lemma_new_entry_mb0_bits_are_zero-20251127-154851/verus-repair.log
2,gpt5,OS,OS__process_manager__spec_proof__impl2__container_owned_procs_disjoint_inv.rs,TIMEOUT,4,AssertFail,INSTANTIATE_FORALL,833703,945272,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__spec_proof__impl2__container_owned_procs_disjoint_inv-20251129-160520/verus-repair.log
2,gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper4.rs,TIMEOUT,3,AssertFail,SEQSETMAP,808888,862709,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper4-20251129-192547/verus-repair.log
2,gpt5,IR,IR__single_delivery_state_v__impl0__truncate.rs,TIMEOUT,3,PostCondFail,postcondition_repair,777135,796141,all_batch_results-cyy-gpt5/results-batch_003/o-IR__single_delivery_state_v__impl0__truncate-20251127-074512/verus-repair.log
2,gpt5,ST,ST__logimpl_tentatively_append_to_log.rs,TIMEOUT,2,PreCondFail,precondition_repair,713946,746168,all_batch_results-cyy-gpt5/results-batch_007/o-ST__logimpl_tentatively_append_to_log-20251130-061437/verus-repair.log
2,gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__pop.rs,TIMEOUT,2,PostCondFail,postcondition_repair,702221,718018,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__pop-20251129-165547/verus-repair.log
2,gpt5,IR,IR__marshal_v__impl4__deserialize.rs,TIMEOUT,4,AssertFail,LOOPINV,700314,745194,all_batch_results-cyy-gpt5/results-batch_003/o-IR__marshal_v__impl4__deserialize-20251126-224159/verus-repair.log
2,gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper5.rs,TIMEOUT,4,AssertFail,CASE_ANALYSIS,688155,771108,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper5-20251129-195547/verus-repair.log
2,gpt5,NR,NR__impl_u__l2_impl__impl0__lemma_new_entry_addr_mask_is_address.rs,TIMEOUT,3,AssertFail,BIT_VECTOR_REASONING,683384,731799,all_batch_results-cyy-gpt5/results-batch_004/o-NR__impl_u__l2_impl__impl0__lemma_new_entry_addr_mask_is_address-20251127-151851/verus-repair.log
2,gpt5,IR,IR__marshal_v__impl3__lemma_serialize_injective.rs,TIMEOUT,3,AssertFail,CASE_ANALYSIS,675453,711424,all_batch_results-cyy-gpt5/results-batch_003/o-IR__marshal_v__impl3__lemma_serialize_injective-20251126-215955/verus-repair.log
2,gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper1.rs,TIMEOUT,3,AssertFail,CASE_ANALYSIS,652641,684820,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper1-20251129-175547/verus-repair.log
2,gpt5,OS,OS__va_range__impl2_new.rs,TIMEOUT,2,PostCondFail,postcondition_repair,646927,650221,all_batch_results-cyy-gpt5/results-batch_007/o-OS__va_range__impl2_new-20251129-224152/verus-repair.log
2,gpt5,ST,ST__logimpl_commit.rs,TIMEOUT,2,PostCondFail,postcondition_repair,638837,648645,all_batch_results-cyy-gpt5/results-batch_007/o-ST__logimpl_commit-20251130-043114/verus-repair.log
2,gpt5,ST,ST__inv_L_active_metadata_set_after_crash.rs,TIMEOUT,4,AssertFail,INSTANTIATE_FORALL,637338,703887,all_batch_results-cyy-gpt5/results-batch_007/o-ST__inv_L_active_metadata_set_after_crash-20251129-231650/verus-repair.log
2,gpt5,ST,ST__inv_L_metadata_types_set_after_cdb_update.rs,TIMEOUT,5,AssertFail,EXTENSIONAL_EQUALITY,633318,753157,all_batch_results-cyy-gpt5/results-batch_007/o-ST__inv_L_metadata_types_set_after_cdb_update-20251130-014215/verus-repair.log
2,gpt5,IR,IR__marshal_v__impl4__lemma_serialization_is_not_a_prefix_of.rs,TIMEOUT,3,AssertFail,CASE_ANALYSIS,598320,646295,all_batch_results-cyy-gpt5/results-batch_003/o-IR__marshal_v__impl4__lemma_serialization_is_not_a_prefix_of-20251127-001159/verus-repair.log
2,gpt5,IR,IR__net_sht_v__send_packet_seq.rs,TIMEOUT,3,PostCondFail,postcondition_repair,552723,571039,all_batch_results-cyy-gpt5/results-batch_003/o-IR__net_sht_v__send_packet_seq-20251127-034339/verus-repair.log
2,gpt5,NR,NR__impl_u__l1__impl2__lemma_entries_interp_remove_implies_interp_aux_remove.rs,TIMEOUT,4,AssertFail,INDUCTION,551851,610912,all_batch_results-cyy-gpt5/results-batch_004/o-NR__impl_u__l1__impl2__lemma_entries_interp_remove_implies_interp_aux_remove-20251127-120329/verus-repair.log
2,gpt5,MA,MA__bin_sizes__bounds_for_smallest_bin_fitting_size.rs,TIMEOUT,3,AssertFail,COMPUTE,548459,569695,all_batch_results-cyy-gpt5/results-batch_003/o-MA__bin_sizes__bounds_for_smallest_bin_fitting_size-20251127-141408/verus-repair.log
2,gpt5,MA,MA__bin_sizes__bin_size_result_mul8.rs,TIMEOUT,5,AssertFail,REVEAL_OPAQUE,543599,622327,all_batch_results-cyy-gpt5/results-batch_003/o-MA__bin_sizes__bin_size_result_mul8-20251127-134408/verus-repair.log
2,gpt5,IR,IR__marshal_v__impl4__lemma_serialize_injective.rs,TIMEOUT,4,AssertFail,USELEMMA,513103,553930,all_batch_results-cyy-gpt5/results-batch_003/o-IR__marshal_v__impl4__lemma_serialize_injective-20251127-004200/verus-repair.log
2,gpt5,OS,OS__process_manager__process_tree__proc_tree_check_is_ancestor.rs,TIMEOUT,3,ArithmeticFlow,arithmetic_overflow_repair,511907,532274,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__process_tree__proc_tree_check_is_ancestor-20251129-144628/verus-repair.log
