model,project,file,status,failed_total_tokens,peer_model,peer_tokens,peer_attempts,peer_action_seq,log_path,peer_log_path
claude-s4,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller.rs,FAILED,2224288,gpt5,629805,9,postcondition_repair USELEMMA precondition_repair CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_EXISTS CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller-20251202-175358/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller-20251125-174804/verus-repair.log
claude-s4,OS,OS__kernel__mem_util__impl0__create_iommu_table_entry.rs,FAILED,2222885,claude,835940,8,postcondition_repair precondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT SEQSETMAP ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__mem_util__impl0__create_iommu_table_entry-20251204-045914/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__mem_util__impl0__create_iommu_table_entry-20251202-065614/verus-repair.log
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods.rs,FAILED,2222193,claude,1511301,14,postcondition_repair EXTENSIONAL_EQUALITY SEQSETMAP CASE_ANALYSIS CASE_ANALYSIS SEQSETMAP CASE_ANALYSIS SEQSETMAP SEQSETMAP EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods-20251202-211344/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods-20251130-202546/verus-repair.log
o4mini,NR,NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted.rs,TIMEOUT,2206373,claude,445279,6,postcondition_repair postcondition_repair USELEMMA USELEMMA ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted-20251127-204704/verus-repair.log,all_batch_results-cyy-claude/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted-20251201-143957/verus-repair.log
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants.rs,FAILED,2155873,gpt5,489433,7,postcondition_repair USELEMMA INSTANTIATE_FORALL INSTANTIATE_FORALL USELEMMA USELEMMA,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants-20251203-061923/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants-20251126-114009/verus-repair.log
claude,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_every_msg_from_vrs_controller_carries_vrs_key.rs,FAILED,2144190,gpt5,648603,9,postcondition_repair USELEMMA precondition_repair INSTANTIATE_FORALL INSTANTIATE_EXISTS CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_every_msg_from_vrs_controller_carries_vrs_key-20251130-164251/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_every_msg_from_vrs_controller_carries_vrs_key-20251125-172445/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok.rs,FAILED,2105466,claude,1514991,14,postcondition_repair USELEMMA USELEMMA EXTENSIONAL_EQUALITY CASE_ANALYSIS COMPUTE CASE_ANALYSIS COMPUTE ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok-20251125-231305/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok-20251130-200619/verus-repair.log
claude,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller.rs,FAILED,2056620,gpt5,629805,9,postcondition_repair USELEMMA precondition_repair CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_EXISTS CASE_ANALYSIS,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller-20251130-165858/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller-20251125-174804/verus-repair.log
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok.rs,FAILED,2056352,claude,1514991,14,postcondition_repair USELEMMA USELEMMA EXTENSIONAL_EQUALITY CASE_ANALYSIS COMPUTE CASE_ANALYSIS COMPUTE ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT USELEMMA,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok-20251202-205053/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok-20251130-200619/verus-repair.log
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp.rs,FAILED,2034373,claude,1309059,15,postcondition_repair USELEMMA INSTANTIATE_EXISTS postcondition_repair USELEMMA precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp-20251203-002443/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp-20251130-233635/verus-repair.log
claude-s4,OS,OS__kernel__create_and_map_pages__impl0__alloc_and_map_io.rs,FAILED,2033776,gpt5,109516,4,postcondition_repair postcondition_repair precondition_repair,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__alloc_and_map_io-20251204-025359/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__alloc_and_map_io-20251128-145310/verus-repair.log
claude,OS,OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages.rs,FAILED,2024926,gpt5,296575,6,precondition_repair precondition_repair precondition_repair INSTANTIATE_FORALL CASE_ANALYSIS,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages-20251202-074210/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages-20251128-225054/verus-repair.log
o4mini,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_every_msg_from_vrs_controller_carries_vrs_key.rs,TIMEOUT,2000350,gpt5,648603,9,postcondition_repair USELEMMA precondition_repair INSTANTIATE_FORALL INSTANTIATE_EXISTS CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_every_msg_from_vrs_controller_carries_vrs_key-20251125-172508/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_every_msg_from_vrs_controller_carries_vrs_key-20251125-172445/verus-repair.log
claude-s4,OS,OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs,FAILED,1986417,claude,826840,13,postcondition_repair precondition_repair LOOPINV LOOPINV ADD_TRIGGER_ASSERT INSTANTIATE_FORALL ADD_TRIGGER_ASSERT INSTANTIATE_FORALL ADD_TRIGGER_ASSERT LOOPINV LOOPINV LOOPINV,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free-20251204-031925/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free-20251202-051820/verus-repair.log
o4mini,NR,NR__spec_t__os_invariant__next_step_preserves_inv_shootdown.rs,TIMEOUT,1976220,claude,1165012,8,postcondition_repair USELEMMA CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS USELEMMA,all_batch_results-cyy-o4mini/results-batch_006/o-NR__spec_t__os_invariant__next_step_preserves_inv_shootdown-20251128-055809/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-NR__spec_t__os_invariant__next_step_preserves_inv_shootdown-20251202-010511/verus-repair.log
gpt5,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp.rs,TIMEOUT,1973922,claude,1726940,17,postcondition_repair postcondition_repair postcondition_repair USELEMMA INSTANTIATE_EXISTS precondition_repair precondition_repair PRECONDITION_REPAIR EXTENSIONAL_EQUALITY INSTANTIATE_EXISTS precondition_repair precondition_repair,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp-20251126-034158/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp-20251130-225413/verus-repair.log
claude-s4,OS,OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages.rs,FAILED,1950186,gpt5,296575,6,precondition_repair precondition_repair precondition_repair INSTANTIATE_FORALL CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages-20251204-055739/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages-20251128-225054/verus-repair.log
claude,OS,OS__kernel__create_and_share_pages__impl0__share_mapping.rs,FAILED,1941596,gpt5,230800,5,postcondition_repair precondition_repair USELEMMA CASE_ANALYSIS,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__create_and_share_pages__impl0__share_mapping-20251202-055633/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__create_and_share_pages__impl0__share_mapping-20251128-172911/verus-repair.log
o4mini,NR,NR__impl_u__os_refinement__extra_mappings_preserved.rs,TIMEOUT,1927845,gpt5,113477,3,postcondition_repair REVEAL_OPAQUE,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_preserved-20251127-201704/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_preserved-20251127-175506/verus-repair.log
o4mini,NR,NR__impl_u__os_refinement__extra_mappings_submap.rs,TIMEOUT,1895946,claude-s4,1265313,19,postcondition_repair REVEAL_OPAQUE EXTENSIONAL_EQUALITY INSTANTIATE_FORALL CASE_ANALYSIS ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT CASE_ANALYSIS CASE_ANALYSIS ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_submap-20251127-214703/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_submap-20251203-190137/verus-repair.log
gpt5,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods.rs,TIMEOUT,1791524,claude,1511301,14,postcondition_repair EXTENSIONAL_EQUALITY SEQSETMAP CASE_ANALYSIS CASE_ANALYSIS SEQSETMAP CASE_ANALYSIS SEQSETMAP SEQSETMAP EXTENSIONAL_EQUALITY ADD_TRIGGER_ASSERT CASE_ANALYSIS,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods-20251126-000235/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods-20251130-202546/verus-repair.log
o4mini,OS,OS__kernel__mem_util__impl0__create_entry.rs,TIMEOUT,1760190,claude,504088,6,postcondition_repair precondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_006/o-OS__kernel__mem_util__impl0__create_entry-20251128-171000/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__mem_util__impl0__create_entry-20251202-065004/verus-repair.log
o4mini,OS,OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free.rs,TIMEOUT,1755286,claude,602816,11,postcondition_repair postcondition_repair precondition_repair precondition_repair precondition_repair precondition_repair precondition_repair LOOPINV ADD_TRIGGER_ASSERT LOOPINV,all_batch_results-cyy-o4mini/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free-20251128-142958/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free-20251202-051315/verus-repair.log
o4mini,NR,NR__spec_t__os_invariant__init_implies_inv.rs,TIMEOUT,1730694,gpt5,203885,4,postcondition_repair USELEMMA INSTANTIATE_EXISTS,all_batch_results-cyy-o4mini/results-batch_006/o-NR__spec_t__os_invariant__init_implies_inv-20251127-234513/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_006/o-NR__spec_t__os_invariant__init_implies_inv-20251127-234308/verus-repair.log
o4mini,OS,OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages.rs,FAILED,1684293,gpt5,296575,6,precondition_repair precondition_repair precondition_repair INSTANTIATE_FORALL CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_006/o-OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages-20251128-191210/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages-20251128-225054/verus-repair.log
claude-s4,NR,NR__impl_u__wrapped_token__start_map_and_acquire_lock.rs,FAILED,1649029,gpt5,631131,9,postcondition_repair precondition_repair USELEMMA USELEMMA USELEMMA USELEMMA USELEMMA USELEMMA,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__wrapped_token__start_map_and_acquire_lock-20251204-020425/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__wrapped_token__start_map_and_acquire_lock-20251128-080750/verus-repair.log
o4mini,OS,OS__kernel__mem_util__impl0__create_iommu_table_entry.rs,FAILED,1628066,claude,835940,8,postcondition_repair precondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT SEQSETMAP ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_006/o-OS__kernel__mem_util__impl0__create_iommu_table_entry-20251128-174000/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__mem_util__impl0__create_iommu_table_entry-20251202-065614/verus-repair.log
claude-s4,NR,NR__impl_u__wrapped_token__impl2__register_failed_map.rs,FAILED,1607736,gpt5,159895,3,postcondition_repair USELEMMA,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__wrapped_token__impl2__register_failed_map-20251204-004652/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__wrapped_token__impl2__register_failed_map-20251128-053009/verus-repair.log
