threshold,model,project,file,gate_attempt,repeated_error,repeated_action,top_peer_action_at_same_index,votes,peer_successes,peer_models,different_from_repeated_action,effective_total_tokens,log_path
8,claude-s4,AC,AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches.rs,13,AssertFail,USELEMMA,precondition_repair,1,1,claude,1,2336987,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches-20251202-222645/verus-repair.log
8,o4mini,AC,AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches.rs,9,AssertFail,USELEMMA,POSTCONDITION_REPAIR,1,1,claude,1,2259355,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches-20251126-020012/verus-repair.log
8,claude-s4,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller.rs,18,AssertFail,CASE_ANALYSIS,CASE_ANALYSIS,2,2,gpt5 o4mini,0,2224288,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller-20251202-175358/verus-repair.log
8,claude-s4,OS,OS__kernel__mem_util__impl0__create_iommu_table_entry.rs,19,AssertFail,ADD_TRIGGER_ASSERT,ADD_TRIGGER_ASSERT,1,1,claude,0,2222885,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__mem_util__impl0__create_iommu_table_entry-20251204-045914/verus-repair.log
8,claude-s4,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods.rs,17,AssertFail,SEQSETMAP,ADD_TRIGGER_ASSERT,1,1,claude,1,2222193,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods-20251202-211344/verus-repair.log
8,o4mini,NR,NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted.rs,14,AssertFail,CASE_ANALYSIS,ADD_TRIGGER_ASSERT,1,1,claude,1,2206373,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted-20251127-204704/verus-repair.log
8,claude-s4,AC,AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants.rs,15,AssertFail,INSTANTIATE_FORALL,USELEMMA,1,1,gpt5,1,2155873,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants-20251203-061923/verus-repair.log
8,claude,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_every_msg_from_vrs_controller_carries_vrs_key.rs,17,AssertFail,ADD_TRIGGER_ASSERT,INSTANTIATE_FORALL,1,2,claude-s4 gpt5,1,2144190,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_every_msg_from_vrs_controller_carries_vrs_key-20251130-164251/verus-repair.log
8,o4mini,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok.rs,15,AssertFail,CASE_ANALYSIS,SEQSETMAP,1,1,claude,1,2105466,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok-20251125-231305/verus-repair.log
8,claude-s4,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok.rs,15,AssertFail,CASE_ANALYSIS,SEQSETMAP,1,1,claude,1,2056352,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok-20251202-205053/verus-repair.log
8,claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp.rs,20,PreCondFail,precondition_repair,INSTANTIATE_EXISTS,1,1,claude,1,2034373,all_batch_results-cyy-claude-s4/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp-20251203-002443/verus-repair.log
8,claude-s4,OS,OS__kernel__create_and_map_pages__impl0__alloc_and_map_io.rs,15,AssertFail,INSTANTIATE_FORALL,precondition_repair,1,2,claude gpt5,1,2033776,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__alloc_and_map_io-20251204-025359/verus-repair.log
8,claude,OS,OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages.rs,16,AssertFail,ADD_TRIGGER_ASSERT,CASE_ANALYSIS,1,1,gpt5,1,2024926,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages-20251202-074210/verus-repair.log
8,claude-s4,OS,OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs,15,AssertFail,ADD_TRIGGER_ASSERT,LOOPINV,1,1,claude,1,1986417,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free-20251204-031925/verus-repair.log
8,o4mini,NR,NR__spec_t__os_invariant__next_step_preserves_inv_shootdown.rs,10,AssertFail,CASE_ANALYSIS,USELEMMA,1,1,claude,1,1976220,all_batch_results-cyy-o4mini/results-batch_006/o-NR__spec_t__os_invariant__next_step_preserves_inv_shootdown-20251128-055809/verus-repair.log
8,gpt5,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp.rs,18,AssertFail,INSTANTIATE_FORALL,INSTANTIATE_EXISTS,1,1,claude,1,1973922,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp-20251126-034158/verus-repair.log
8,claude,OS,OS__kernel__create_and_share_pages__impl0__share_mapping.rs,8,PostCondFail,postcondition_repair,CASE_ANALYSIS,1,2,gpt5 o4mini,1,1941596,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__create_and_share_pages__impl0__share_mapping-20251202-055633/verus-repair.log
8,o4mini,NR,NR__impl_u__os_refinement__extra_mappings_submap.rs,17,AssertFail,CASE_ANALYSIS,EXTENSIONAL_EQUALITY,1,1,claude-s4,1,1895946,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_submap-20251127-214703/verus-repair.log
8,gpt5,AC,AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods.rs,14,AssertFail,CASE_ANALYSIS,ADD_TRIGGER_ASSERT,1,1,claude,1,1791524,all_batch_results-cyy-gpt5/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods-20251126-000235/verus-repair.log
8,o4mini,OS,OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free.rs,18,AssertFail,CASE_ANALYSIS,LOOPINV,2,2,claude claude-s4,1,1755286,all_batch_results-cyy-o4mini/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free-20251128-142958/verus-repair.log
8,o4mini,NR,NR__spec_t__os_invariant__init_implies_inv.rs,16,AssertFail,INSTANTIATE_EXISTS,INSTANTIATE_EXISTS,2,3,claude claude-s4 gpt5,0,1730694,all_batch_results-cyy-o4mini/results-batch_006/o-NR__spec_t__os_invariant__init_implies_inv-20251127-234513/verus-repair.log
8,o4mini,OS,OS__kernel__mem_util__impl0__create_iommu_table_entry.rs,17,AssertFail,CASE_ANALYSIS,ADD_TRIGGER_ASSERT,1,1,claude,1,1628066,all_batch_results-cyy-o4mini/results-batch_006/o-OS__kernel__mem_util__impl0__create_iommu_table_entry-20251128-174000/verus-repair.log
8,o4mini,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp.rs,16,PreCondFail,precondition_repair,INSTANTIATE_EXISTS,1,1,gpt5,1,1595962,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp-20251126-025728/verus-repair.log
8,gpt5,OS,OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs,12,AssertFail,INSTANTIATE_FORALL,LOOPINV,1,1,claude,1,1589039,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free-20251128-152727/verus-repair.log
8,claude,NR,NR__impl_u__wrapped_token__impl2__register_failed_map.rs,12,AssertFail,POSTCONDITION_REPAIR,USELEMMA,1,1,gpt5,1,1584776,all_batch_results-cyy-claude/results-batch_005/o-NR__impl_u__wrapped_token__impl2__register_failed_map-20251201-205621/verus-repair.log
8,o4mini,OS,OS__kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable.rs,19,AssertFail,INSTANTIATE_FORALL,LOOPINV,2,2,claude claude-s4,1,1568483,all_batch_results-cyy-o4mini/results-batch_006/o-OS__kernel__create_and_share_pages__impl0__check_address_space_va_range_shareable-20251128-153129/verus-repair.log
8,o4mini,OS,OS__kernel__create_and_map_pages__impl0__alloc_and_map_io.rs,15,AssertFail,ADD_TRIGGER_ASSERT,precondition_repair,1,2,claude gpt5,1,1555574,all_batch_results-cyy-o4mini/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__alloc_and_map_io-20251128-135958/verus-repair.log
8,claude,AC,AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants.rs,13,PreCondFail,precondition_repair,USELEMMA,1,1,gpt5,1,1466361,all_batch_results-cyy-claude/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants-20251201-044441/verus-repair.log
8,o4mini,NR,NR__impl_u__os_refinement__lemma_map_soundness_equality.rs,13,AssertFail,CASE_ANALYSIS,USELEMMA,1,1,gpt5,1,1447061,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__lemma_map_soundness_equality-20251128-003909/verus-repair.log
8,gpt5,NR,NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted.rs,17,AssertFail,INSTANTIATE_FORALL,ADD_TRIGGER_ASSERT,1,1,claude,1,1444080,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted-20251127-180320/verus-repair.log
8,o4mini,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp.rs,8,PostCondFail,postcondition_repair,PRECONDITION_REPAIR,1,1,claude,1,1395348,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp-20251126-032728/verus-repair.log
8,o4mini,NR,NR__impl_u__os_refinement__no_overlaps_pmem_applied_mappings.rs,12,AssertFail,INSTANTIATE_FORALL,ADD_TRIGGER_ASSERT,2,3,claude claude-s4 gpt5,1,1388388,all_batch_results-cyy-o4mini/results-batch_005/o-NR__impl_u__os_refinement__no_overlaps_pmem_applied_mappings-20251128-021540/verus-repair.log
8,gpt5,OS,OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free.rs,13,AssertFail,LOOPINV,LOOPINV,1,2,claude claude-s4,0,1385022,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free-20251128-145727/verus-repair.log
8,claude,NR,NR__impl_u__wrapped_token__start_map_and_acquire_lock.rs,19,PreCondFail,precondition_repair,USELEMMA,1,1,gpt5,1,1369596,all_batch_results-cyy-claude/results-batch_005/o-NR__impl_u__wrapped_token__start_map_and_acquire_lock-20251201-225232/verus-repair.log
8,gpt5,OS,OS__process_manager__impl_base__impl0__run_blocked_thread.rs,17,AssertFail,SEQSETMAP,USELEMMA,1,1,claude,1,1363400,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_base__impl0__run_blocked_thread-20251129-094442/verus-repair.log
8,o4mini,OS,OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper3.rs,11,AssertFail,INSTANTIATE_FORALL,ADD_TRIGGER_ASSERT,1,1,claude,1,1331396,all_batch_results-cyy-o4mini/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper3-20251128-123748/verus-repair.log
8,gpt5,OS,OS__kernel__mem_util__impl0__get_address_space_va_range_none.rs,12,AssertFail,LOOPINV,LOOPINV,2,3,claude claude-s4 o4mini,0,1297488,all_batch_results-cyy-gpt5/results-batch_006/o-OS__kernel__mem_util__impl0__get_address_space_va_range_none-20251128-195713/verus-repair.log
8,claude,OS,OS__kernel__syscall_mmap__impl0__syscall_mmap.rs,8,PostCondFail,postcondition_repair,postcondition_repair,1,1,claude-s4,0,1260816,all_batch_results-cyy-claude/results-batch_006/o-OS__kernel__syscall_mmap__impl0__syscall_mmap-20251202-070805/verus-repair.log
8,o4mini,IR,IR__host_impl_v__impl2__host_noreceive_noclock_next.rs,13,AssertFail,CASE_ANALYSIS,CASE_ANALYSIS,1,1,claude,0,1182997,all_batch_results-cyy-o4mini/results-batch_002/o-IR__host_impl_v__impl2__host_noreceive_noclock_next-20251126-160428/verus-repair.log
8,o4mini,NR,NR__spec_t__mmu__rl2__lemma_step_WriteNonpos_post_valid_pt_walk_no_wraddr_in_path.rs,10,AssertFail,CASE_ANALYSIS,CASE_ANALYSIS,1,2,claude claude-s4,0,1143958,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_WriteNonpos_post_valid_pt_walk_no_wraddr_in_path-20251128-205336/verus-repair.log
8,gpt5,OS,OS__allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k.rs,19,AssertFail,INSTANTIATE_FORALL,USELEMMA,2,2,claude claude-s4,1,1130259,all_batch_results-cyy-gpt5/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k-20251128-081550/verus-repair.log
8,gpt5,OS,OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint.rs,19,AssertFail,USELEMMA,ADD_TRIGGER_ASSERT,1,1,claude,1,1117037,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint-20251129-111442/verus-repair.log
8,claude,IR,IR__host_impl_v__impl2__host_model_next_delegate.rs,11,AssertFail,CASE_ANALYSIS,COMPUTE,1,1,o4mini,1,1110233,all_batch_results-cyy-claude/results-batch_002/o-IR__host_impl_v__impl2__host_model_next_delegate-20251201-011300/verus-repair.log
8,o4mini,NR,NR__spec_t__mmu__rl2__lemma_step_writenonpos_invalid_walk_unchanged.rs,16,AssertFail,CASE_ANALYSIS,USELEMMA,1,1,gpt5,1,1108435,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writenonpos_invalid_walk_unchanged-20251128-234729/verus-repair.log
8,gpt5,OS,OS__allocator__page_allocator_spec_impl__impl2__alloc_page_4k.rs,17,AssertFail,CASE_ANALYSIS,ADD_TRIGGER_ASSERT,1,1,claude,1,1072367,all_batch_results-cyy-gpt5/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__alloc_page_4k-20251128-104551/verus-repair.log
8,o4mini,NR,NR__spec_t__mmu__rl2__lemma_step_writenonneg_new_walk_has_pending_map.rs,14,AssertFail,SEQSETMAP,USELEMMA,1,1,claude,1,1071910,all_batch_results-cyy-o4mini/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writenonneg_new_walk_has_pending_map-20251128-225059/verus-repair.log
8,claude-s4,OS,OS__process_manager__spec_proof__impl2__container_owned_procs_disjoint_inv.rs,15,AssertFail,ADD_TRIGGER_ASSERT,SEQSETMAP,1,1,claude,1,1061428,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__process_manager__spec_proof__impl2__container_owned_procs_disjoint_inv-20251204-140010/verus-repair.log
8,gpt5,OS,OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper3.rs,13,AssertFail,INSTANTIATE_FORALL,ADD_TRIGGER_ASSERT,1,1,claude,1,1060153,all_batch_results-cyy-gpt5/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper3-20251128-131551/verus-repair.log
8,claude-s4,OS,OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper3.rs,14,AssertFail,CASE_ANALYSIS,ADD_TRIGGER_ASSERT,1,1,claude,1,1050905,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper3-20251204-022613/verus-repair.log
8,claude,NR,NR__impl_u__os_refinement__lemma_inflight_unmap_vaddr_equals_hl_unmap.rs,17,AssertFail,SEQSETMAP,INSTANTIATE_EXISTS,1,2,claude-s4 gpt5,1,1033446,all_batch_results-cyy-claude/results-batch_005/o-NR__impl_u__os_refinement__lemma_inflight_unmap_vaddr_equals_hl_unmap-20251201-153708/verus-repair.log
8,o4mini,OS,OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs,8,PostCondFail,postcondition_repair,INSTANTIATE_FORALL,1,1,claude,1,1032485,all_batch_results-cyy-o4mini/results-batch_006/o-OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free-20251128-145958/verus-repair.log
8,gpt5,IR,IR__host_impl_v__impl2__host_model_next_delegate.rs,13,AssertFail,CASE_ANALYSIS,USELEMMA,1,1,o4mini,1,1028544,all_batch_results-cyy-gpt5/results-batch_002/o-IR__host_impl_v__impl2__host_model_next_delegate-20251126-113048/verus-repair.log
8,gpt5,IR,IR__marshal_v__impl4__lemma_same_views_serialize_the_same.rs,14,AssertFail,USELEMMA,USELEMMA,2,2,claude claude-s4,0,1028254,all_batch_results-cyy-gpt5/results-batch_003/o-IR__marshal_v__impl4__lemma_same_views_serialize_the_same-20251126-234159/verus-repair.log
8,o4mini,NR,NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_hl_implies_os.rs,13,AssertFail,INSTANTIATE_EXISTS,ADD_TRIGGER_ASSERT,1,2,claude claude-s4,1,988098,all_batch_results-cyy-o4mini/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_hl_implies_os-20251128-011347/verus-repair.log
8,o4mini,OS,OS__slinkedlist__spec_impl_u__impl2__pop.rs,9,AssertFail,SEQSETMAP,SEQSETMAP,1,1,claude-s4,0,986314,all_batch_results-cyy-o4mini/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__pop-20251129-145355/verus-repair.log
8,gpt5,OS,OS__slinkedlist__spec_impl_u__impl2__push.rs,10,AssertFail,SEQSETMAP,SEQSETMAP,1,1,claude,0,983976,all_batch_results-cyy-gpt5/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__push-20251129-172547/verus-repair.log
8,o4mini,NR,NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_os_implies_hl.rs,10,AssertFail,INSTANTIATE_EXISTS,CASE_ANALYSIS,1,2,claude-s4 gpt5,1,981969,all_batch_results-cyy-o4mini/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_os_implies_hl-20251128-014347/verus-repair.log
8,gpt5,NR,NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf.rs,15,AssertFail,CASE_ANALYSIS,INSTANTIATE_FORALL,1,1,claude,1,976341,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf-20251128-210659/verus-repair.log
8,claude-s4,IR,IR__host_impl_v__impl2__host_noreceive_noclock_next.rs,8,PostCondFail,postcondition_repair,USELEMMA,1,1,claude,1,972598,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__host_impl_v__impl2__host_noreceive_noclock_next-20251203-085835/verus-repair.log
8,o4mini,AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n.rs,15,AssertFail,INSTANTIATE_FORALL,INSTANTIATE_FORALL,1,1,gpt5,0,958009,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp_in_flight_at_all_create_to_create_n-20251126-150449/verus-repair.log
8,o4mini,OS,OS__slinkedlist__spec_impl_u__impl2__push.rs,10,AssertFail,SEQSETMAP,SEQSETMAP,1,1,claude,0,957673,all_batch_results-cyy-o4mini/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__push-20251129-152355/verus-repair.log
8,o4mini,AC,AC__vreplicaset_controller__proof__liveness__spec__derived_invariants_since_beginning_is_stable.rs,19,AssertFail,CASE_ANALYSIS,INSTANTIATE_FORALL,1,3,claude claude-s4 gpt5,1,956479,all_batch_results-cyy-o4mini/results-batch_001/o-AC__vreplicaset_controller__proof__liveness__spec__derived_invariants_since_beginning_is_stable-20251126-103521/verus-repair.log
8,claude,NR,NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged.rs,15,AssertFail,CASE_ANALYSIS,plain_text_repair,1,1,claude-s4,1,956325,all_batch_results-cyy-claude/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_writeback_invalid_walk_unchanged-20251202-021751/verus-repair.log
8,o4mini,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper5.rs,9,AssertFail,SEQSETMAP,USELEMMA,1,1,claude-s4,1,954049,all_batch_results-cyy-o4mini/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper5-20251129-170947/verus-repair.log
8,claude,NR,NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_os_implies_hl.rs,17,AssertFail,ADD_TRIGGER_ASSERT,CASE_ANALYSIS,1,2,claude-s4 gpt5,1,951818,all_batch_results-cyy-claude/results-batch_006/o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_os_implies_hl-20251201-221426/verus-repair.log
8,claude-s4,IR,IR__host_impl_v__impl2__host_model_next_delegate.rs,12,AssertFail,CASE_ANALYSIS,USELEMMA,1,1,o4mini,1,947940,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__host_impl_v__impl2__host_model_next_delegate-20251203-065218/verus-repair.log
